overall_rank,preproc_id,model_name,param_combo,best_val_acc,top_k_accuracy,best_epoch,convergence_speed,preprocessing_type,model_rank,preproc_rank,accuracy_improvement,class_diversity,class_freq_json,loss,accuracy,auc,precision,recall,val_loss,val_accuracy,val_auc,val_precision,val_recall,val_top_k_accuracy,threshold,value,method,size,iterations,sigma
22.0,binarize,chexnet,threshold-100_max_value-100_method-adaptive_gaussian,0.2028985470533371,0.39705882352941174,11,11,single,14.0,16.0,-0.0013012478050713205,8,"{0: 19, 1: 20, 2: 28, 3: 24, 4: 30, 5: 34, 6: 28, 7: 21}",2.267362594604492,0.2135922312736511,0.6065739393234253,0.1875,0.0436893217265605,2.1893978118896484,0.1764705926179886,0.5042943954467773,0.0,0.0,0.6617646813392639,100.0,100.0,adaptive,,,
24.0,binarize,chexnet,threshold-100_max_value-100_method-adaptive_mean,0.1884057968854904,0.3382352941176471,15,15,single,16.0,18.0,-0.015793997972918028,8,"{0: 26, 1: 20, 2: 23, 3: 33, 4: 22, 5: 28, 6: 22, 7: 30}",2.672531843185425,0.1067961156368255,0.5125618577003479,0.0784313753247261,0.0194174759089946,2.219527006149292,0.0882352963089943,0.4715768992900848,0.0,0.0,0.6176470518112183,100.0,100.0,adaptive,,,
23.0,binarize,chexnet,threshold-100_max_value-100_method-fixed,0.1911764740943908,0.45588235294117646,13,13,single,15.0,17.0,-0.013023320764017604,8,"{0: 31, 1: 28, 2: 31, 3: 27, 4: 15, 5: 33, 6: 17, 7: 22}",2.426246166229248,0.1262135952711105,0.5255544781684875,0.1599999964237213,0.0194174759089946,2.114715337753296,0.1176470592617988,0.5338451862335205,0.0,0.0,0.6323529481887817,100.0,100.0,fixed,,,
22.0,binarize,chexnet,threshold-100_max_value-127_method-adaptive_gaussian,0.2028985470533371,0.36764705882352944,1,1,single,14.0,16.0,-0.0013012478050713205,8,"{0: 26, 1: 27, 2: 25, 3: 11, 4: 15, 5: 39, 6: 34, 7: 27}",3.2043216228485107,0.0631067976355552,0.473637580871582,0.0543478243052959,0.0242718439549207,2.4722962379455566,0.1323529481887817,0.4816330671310425,0.0,0.0,0.5882353186607361,100.0,127.0,adaptive,,,
21.0,binarize,chexnet,threshold-100_max_value-127_method-adaptive_mean,0.2058823555707931,0.4117647058823529,3,3,single,13.0,15.0,0.0016825607123846786,8,"{0: 31, 1: 29, 2: 23, 3: 23, 4: 20, 5: 17, 6: 34, 7: 27}",2.642097949981689,0.1456310749053955,0.5074650049209595,0.2000000029802322,0.0436893217265605,2.1898632049560547,0.2058823555707931,0.5287011861801147,0.0,0.0,0.6617646813392639,100.0,127.0,adaptive,,,
23.0,binarize,chexnet,threshold-100_max_value-127_method-fixed,0.1911764740943908,0.36764705882352944,14,14,single,15.0,17.0,-0.013023320764017604,8,"{0: 21, 1: 25, 2: 44, 3: 28, 4: 20, 5: 22, 6: 26, 7: 18}",2.37593674659729,0.1553398072719574,0.5603665709495544,0.2000000029802322,0.0339805819094181,2.162166118621826,0.1323529481887817,0.5292882323265076,0.0,0.0,0.6764705777168274,100.0,127.0,fixed,,,
21.0,binarize,chexnet,threshold-100_max_value-200_method-adaptive_gaussian,0.2058823555707931,0.3382352941176471,13,13,single,13.0,15.0,0.0016825607123846786,8,"{0: 20, 1: 15, 2: 32, 3: 27, 4: 25, 5: 23, 6: 36, 7: 26}",2.489909648895264,0.1650485396385193,0.5428863763809204,0.145454540848732,0.0388349518179893,2.187971591949463,0.0882352963089943,0.4936820268630981,0.0,0.0,0.6176470518112183,100.0,200.0,adaptive,,,
25.0,binarize,chexnet,threshold-100_max_value-200_method-adaptive_mean,0.1764705926179886,0.38235294117647056,4,4,single,17.0,19.0,-0.02772920224041983,8,"{0: 25, 1: 29, 2: 28, 3: 34, 4: 20, 5: 25, 6: 25, 7: 18}",2.6012558937072754,0.1310679614543914,0.533898115158081,0.0714285746216774,0.0194174759089946,2.211962938308716,0.1323529481887817,0.5080480575561523,0.0,0.0,0.6176470518112183,100.0,200.0,adaptive,,,
17.0,binarize,chexnet,threshold-100_max_value-200_method-fixed,0.2352941185235977,0.4117647058823529,1,1,single,9.0,11.0,0.031094323665189272,8,"{0: 22, 1: 25, 2: 32, 3: 33, 4: 27, 5: 34, 6: 22, 7: 9}",2.913559675216675,0.1407766938209533,0.5172478556632996,0.1842105239629745,0.0679611638188362,2.431741952896118,0.147058829665184,0.4950723350048065,0.5,0.0294117648154497,0.6029411554336548,100.0,200.0,fixed,,,
16.0,binarize,chexnet,threshold-100_max_value-220_method-adaptive_gaussian,0.2463768124580383,0.35294117647058826,5,5,single,8.0,10.0,0.042177017599629885,8,"{0: 26, 1: 14, 2: 36, 3: 34, 4: 27, 5: 25, 6: 25, 7: 17}",2.741119861602783,0.0922330096364021,0.4956842362880707,0.125,0.0339805819094181,2.188987970352173,0.1176470592617988,0.4934503138065338,0.0,0.0,0.6176470518112183,100.0,220.0,adaptive,,,
